reference_image,target_image,frame_gap,rotation_error_deg,translation_dir_error_deg,gt_rotation_deg,gt_translation_distance
frame_00001.jpeg,frame_00011.jpeg,10,1.0314030199242163,148.74871512945705,1.9069563350740284,0.23758557024389582
frame_00001.jpeg,frame_00021.jpeg,20,0.9273820096172459,150.05257212948305,3.8154589171499085,0.4754867317776509
frame_00001.jpeg,frame_00031.jpeg,30,1.0871056544468762,166.43766551407697,5.722502642678102,0.7133456341126871
frame_00001.jpeg,frame_00041.jpeg,40,0.8932770792377742,170.33518951540358,7.63004060436248,0.9513878257270698
frame_00001.jpeg,frame_00051.jpeg,50,1.307691923260861,175.8100638212135,9.537240815114874,1.1895745585419704
frame_00001.jpeg,frame_00061.jpeg,60,1.833817283838433,174.68160453361645,11.445407971672799,1.4281152386101719
frame_00001.jpeg,frame_00071.jpeg,70,2.3193471424031658,172.91541499891153,13.353618282747073,1.6668259625030772
frame_00001.jpeg,frame_00081.jpeg,80,2.357657800416968,173.0496036302915,15.26333198564387,1.9059274041419014
frame_00001.jpeg,frame_00091.jpeg,90,2.13100513057796,172.72636817483408,17.172568927908408,2.145106710577784
frame_00001.jpeg,frame_00101.jpeg,100,2.316146074551365,170.47593679282815,19.082730608520595,2.384752830852455
frame_00001.jpeg,frame_00111.jpeg,110,2.498113863683442,169.8378586428689,20.9921062661768,2.6245986368561405
frame_00001.jpeg,frame_00121.jpeg,120,4.904211206179003,165.46621691941456,22.902098692104968,2.864852096587099
frame_00001.jpeg,frame_00131.jpeg,130,8.983015011560125,161.79928444474663,24.81220055726945,3.1055045549525184
frame_00001.jpeg,frame_00141.jpeg,140,5.252537766292407,163.85870254601315,26.722637382242997,3.346660747183492
frame_00001.jpeg,frame_00151.jpeg,150,4.534747288844688,164.42792116621885,28.632733851239937,3.5881943698264815
frame_00001.jpeg,frame_00161.jpeg,160,5.8025059983215765,159.9518581397697,30.54411015119631,3.830563942514279
frame_00001.jpeg,frame_00171.jpeg,170,6.500666432829181,161.13762284866718,32.45389959781664,4.073267558157944
frame_00001.jpeg,frame_00181.jpeg,180,6.085694303758321,163.0166167063411,34.36497744750689,4.317132124596179
frame_00001.jpeg,frame_00191.jpeg,190,6.13318980052926,162.19822668024096,36.27477105876884,4.5617008873272935
frame_00001.jpeg,frame_00201.jpeg,200,5.196812034729568,163.4840099710885,38.18471429485985,4.807427828494047
frame_00001.jpeg,frame_00211.jpeg,210,6.996986156377306,161.947789814657,40.09507862624862,5.054632338769044
frame_00001.jpeg,frame_00221.jpeg,220,4.940999501412547,159.91761692749395,42.0037511537011,5.303613284286955
frame_00001.jpeg,frame_00231.jpeg,230,6.712572191918157,158.70708535792377,43.91303913677586,5.555013604082385
frame_00001.jpeg,frame_00241.jpeg,240,6.86561185669687,157.1137717755742,45.84526795745646,5.813963931401565
frame_00001.jpeg,frame_00251.jpeg,250,6.101780233838143,158.11369285396293,47.81965129080643,6.084903348612908
frame_00001.jpeg,frame_00261.jpeg,260,7.418064582718477,154.46874858142917,49.82482375625624,6.3663989621862465
frame_00001.jpeg,frame_00271.jpeg,270,7.80607615062059,155.24613680600623,51.857777748831346,6.658089709149343
frame_00001.jpeg,frame_00281.jpeg,280,7.281878945721196,155.54506888530975,53.90985219726878,6.958623331123185
frame_00001.jpeg,frame_00291.jpeg,290,6.472626883569957,155.77788912157186,55.97674302256609,7.267136353735913
frame_00001.jpeg,frame_00301.jpeg,300,7.081950990103436,154.43811685478784,58.060081545209215,7.5836473011662076
frame_00001.jpeg,frame_00311.jpeg,310,6.0412821039820015,156.06307088300414,60.15523481495245,7.907816498803593
frame_00001.jpeg,frame_00321.jpeg,320,7.842405922998807,154.29005691674348,62.26095981779951,8.238891754040408
frame_00001.jpeg,frame_00331.jpeg,330,9.034676784768557,151.7974018585624,64.37573746728579,8.576299192823848
frame_00001.jpeg,frame_00341.jpeg,340,7.923900024374961,152.333550806084,66.49691661336135,8.919801313147591
frame_00001.jpeg,frame_00351.jpeg,350,7.938537995750328,152.39552888187532,68.630624708239,9.269961109804376
frame_00001.jpeg,frame_00361.jpeg,360,8.463985040802374,150.87906733785974,70.76586532606231,9.624769925721235
frame_00001.jpeg,frame_00371.jpeg,370,6.841020645101533,149.97614703485823,72.91185600209708,9.985630194324434
frame_00001.jpeg,frame_00381.jpeg,380,8.122094887176292,149.9305597260638,75.06522576080773,10.3521623034466
frame_00001.jpeg,frame_00391.jpeg,390,7.405126679650027,150.47115768751434,77.21962870859396,10.722885698891536
frame_00001.jpeg,frame_00401.jpeg,400,5.921354876477049,152.51305455288693,79.38203974335431,11.098726749345062
frame_00001.jpeg,frame_00411.jpeg,410,7.775746700393511,151.83146993139604,81.54836434940688,11.479341261037332
frame_00001.jpeg,frame_00421.jpeg,420,7.103628656038155,152.290038035529,83.71692604338097,11.86445502002677
frame_00001.jpeg,frame_00431.jpeg,430,8.286847894028506,150.5744899438632,85.89629732208182,12.254836013188298
frame_00001.jpeg,frame_00441.jpeg,440,10.331884163440247,150.8207713069763,88.07942028758168,12.649944647490802
frame_00001.jpeg,frame_00451.jpeg,450,11.470834694718228,149.1107705063695,90.2571415209988,13.049990764003397
